Codigo del territorio histórico,Código del municipio,Nombre del municipio
01,051,Agurain/Salvatierra
01,001,Alegría-Dulantzi
01,002,Amurrio
01,049,Añana
01,003,Aramaio
01,006,Armiñón
01,037,Arraia-Maeztu
01,008,Arratzua-Ubarrundia
01,004,Artziniega
01,009,Asparrena
01,010,Ayala/Aiara
01,011,Baños de Ebro/Mañueta
01,013,Barrundia
01,014,Berantevilla
01,016,Bernedo
01,017,Campezo/Kanpezu
01,021,Elburgo/Burgelu
01,022,Elciego
01,023,Elvillar/Bilar
01,046,Erriberagoitia/Ribera Alta
01,056,Harana/Valle de Arana
01,901,Iruña Oka/Iruña de Oca
01,027,Iruraiz-Gauna
01,019,Kripan
01,020,Kuartango
01,028,Labastida/Bastida
01,030,Lagrán
01,031,Laguardia
01,032,Lanciego/Lantziego
01,902,Lantarón
01,033,Lapuebla de Labarca
01,036,Laudio/Llodio
01,058,Legutio
01,034,Leza
01,039,Moreda de Álava/Moreda Araba
01,041,Navaridas
01,042,Okondo
01,043,Oyón-Oion
01,044,Peñacerrada-Urizaharra
01,047,Ribera Baja/Erribera Beitia
01,052,Samaniego
01,053,San Millán/Donemiliaga
01,054,Urkabustaiz
01,055,Valdegovía/Gaubea
01,057,Villabuena de Álava/Eskuernaga
01,059,Vitoria-Gasteiz
01,060,Yécora/Iekora
01,061,Zalduondo
01,062,Zambrana
01,018,Zigoitia
01,063,Zuia